id_venue,name_venue,type_venue
id_Computer Applications in the Automation of Shipyard Operation and Ship Design,Computer Applications in the Automation of Shipyard Operation and Ship Design,proceed
id_Computer Architecture,Computer Architecture,proceed
id_Computer Architecture Performance Evaluation Methods,Computer Architecture Performance Evaluation Methods,proceed
id_Computer Architecture Techniques for Power-Efficiency,Computer Architecture Techniques for Power-Efficiency,proceed
id_Computer Architecture for Non-Numeric Processing,Computer Architecture for Non-Numeric Processing,proceed
id_Computer Graphics,Computer Graphics,proceed
id_Computer Graphics International,Computer Graphics International,proceed
id_Computer Graphics and Imaging,Computer Graphics and Imaging,proceed
id_Computer Mediated Education of Information Technology Professionals and Advanced End-Users,Computer Mediated Education of Information Technology Professionals and Advanced End-Users,proceed
id_Computer Performance Evaluation,Computer Performance Evaluation,proceed
id_Computer Performance Evaluation (Tools),Computer Performance Evaluation (Tools),proceed
id_Computer Performance Evaluation / TOOLS,Computer Performance Evaluation / TOOLS,proceed
id_Computer Performance and Reliability,Computer Performance and Reliability,proceed
id_Computer Recognition Systems 2,Computer Recognition Systems 2,proceed
id_Computer Recognition Systems 3,Computer Recognition Systems 3,proceed
id_Computer Recognition Systems 4,Computer Recognition Systems 4,proceed
id_Computer Science Today,Computer Science Today,proceed
id_Computer Science in Perspective,Computer Science in Perspective,proceed
id_Computer Science in Sport,Computer Science in Sport,proceed
id_Computer Science in Sport - Mission and Methods,Computer Science in Sport - Mission and Methods,proceed
id_Computer Science, The Hardware, Software and Heart of It,Computer Science, The Hardware, Software and Heart of It,proceed
id_Computer Security and Industrial Cryptography,Computer Security and Industrial Cryptography,proceed
id_Computer Supported Acitivity Coordination,Computer Supported Acitivity Coordination,proceed
id_Computer Supported Activity Coordination,Computer Supported Activity Coordination,proceed
id_Computer Techniques for Dynamic Modeling of DC-DC Power Converters,Computer Techniques for Dynamic Modeling of DC-DC Power Converters,proceed
id_Computer Vision and Shape Recognition,Computer Vision and Shape Recognition,proceed
id_Computer Vision, A Reference Guide,Computer Vision, A Reference Guide,proceed
id_Computer Vision: Detection, Recognition and Reconstruction,Computer Vision: Detection, Recognition and Reconstruction,proceed
id_Computer and Information Science,Computer and Information Science,proceed
id_Computer and Network Security Essentials,Computer and Network Security Essentials,proceed
id_Computer and Telecommunications Performance Engineering,Computer and Telecommunications Performance Engineering,proceed
id_Computer-Aided Database Design: the DATAID approach,Computer-Aided Database Design: the DATAID approach,proceed
id_Computer-Aided Detection of Architectural Distortion in Prior Mammograms of Interval Cancer,Computer-Aided Detection of Architectural Distortion in Prior Mammograms of Interval Cancer,proceed
id_Computer-Aided Production Management,Computer-Aided Production Management,proceed
id_Computer-Supported Collaborative Learning at the Workplace,Computer-Supported Collaborative Learning at the Workplace,proceed
id_Computer-assisted proofs - tools, methods and applications,Computer-assisted proofs - tools, methods and applications,proceed
id_Computer-based Medical Guidelines and Protocols,Computer-based Medical Guidelines and Protocols,proceed
id_Computerization and Controversy, 2nd Ed.,Computerization and Controversy, 2nd Ed.,proceed
id_Computerization and Work,Computerization and Work,proceed
id_Computerized Assistance During the Information Systems Life Cycle,Computerized Assistance During the Information Systems Life Cycle,proceed
id_Computerlinguistik und ihre theoretischen Grundlagen,Computerlinguistik und ihre theoretischen Grundlagen,proceed
id_Computers and Education in the 21st Century,Computers and Education in the 21st Century,proceed
id_Computers and Education. Towards an Interconnected Society,Computers and Education. Towards an Interconnected Society,proceed
id_Computers and Games,Computers and Games,proceed
id_Computers and Mathematics,Computers and Mathematics,proceed
id_Computers and Their Applications,Computers and Their Applications,proceed
id_Computers in the Human Interaction Loop,Computers in the Human Interaction Loop,proceed
id_Computers, Privacy and Data Protection,Computers, Privacy and Data Protection,proceed
id_Computing Attitude and Affect in Text,Computing Attitude and Affect in Text,proceed
id_Computing Handbook, 3rd ed. (1),Computing Handbook, 3rd ed. (1),proceed
id_Computing Handbook, 3rd ed. (2),Computing Handbook, 3rd ed. (2),proceed
id_Computing Media and Languages for Space-Oriented Computation,Computing Media and Languages for Space-Oriented Computation,proceed
id_Computing Methods in Applied Sciences and Engineering,Computing Methods in Applied Sciences and Engineering,proceed
id_Computing Prosody,Computing Prosody,proceed
id_Computing and Markets,Computing and Markets,proceed
id_Computing and Optimization for DC Power Systems of Electric Transport,Computing and Optimization for DC Power Systems of Electric Transport,proceed
id_Computing and Software Science,Computing and Software Science,proceed
id_Computing with New Resources,Computing with New Resources,proceed
id_Computing with Social Trust,Computing with Social Trust,proceed
id_Computing with Spatial Trajectories,Computing with Spatial Trajectories,proceed
id_ConTEL,ConTEL,proceed
id_Concentration Inequalities,Concentration Inequalities,proceed
id_Concept Invention,Concept Invention,proceed
id_Conceptual Modeling,Conceptual Modeling,proceed
id_Conceptual Modeling Perspectives,Conceptual Modeling Perspectives,proceed
id_Conceptual Modeling: Foundations and Applications,Conceptual Modeling: Foundations and Applications,proceed
id_Conceptual Modelling and Its Theoretical Foundations,Conceptual Modelling and Its Theoretical Foundations,proceed
id_Conceptual Models,Conceptual Models,proceed
id_Concise Encyclopedia of Modelling & Simulation,Concise Encyclopedia of Modelling & Simulation,proceed
id_Concise Introduction to Cement Chemistry and Manufacturing,Concise Introduction to Cement Chemistry and Manufacturing,proceed
id_Concurrency,Concurrency,proceed
id_Concurrency and Hardware Design,Concurrency and Hardware Design,proceed
id_Concurrency, Compositionality, and Correctness,Concurrency, Compositionality, and Correctness,proceed
id_Concurrency, Graphs and Models,Concurrency, Graphs and Models,proceed
id_Concurrency, Security, and Puzzles,Concurrency, Security, and Puzzles,proceed
id_Concurrency: Theory, Language, And Architecture,Concurrency: Theory, Language, And Architecture,proceed
id_Concurrent Object-Oriented Programming and Petri Nets,Concurrent Object-Oriented Programming and Petri Nets,proceed
id_Concurrent Objects and Beyond,Concurrent Objects and Beyond,proceed
id_Conf. Computing Frontiers,Conf. Computing Frontiers,proceed
id_ConfWS,ConfWS,proceed
id_Conference on Analysis of Neural Network Applications,Conference on Analysis of Neural Network Applications,proceed
id_Conference on Computer Logic,Conference on Computer Logic,proceed
id_Conference on Data: Abstraction, Definition and Structure,Conference on Data: Abstraction, Definition and Structure,proceed
id_Conference on Designing Interactive Systems,Conference on Designing Interactive Systems,proceed
id_Conference on Designing Interactive Systems (Companion Volume),Conference on Designing Interactive Systems (Companion Volume),proceed
id_Conference on Information Security Management & Small Systems Security,Conference on Information Security Management & Small Systems Security,proceed
id_Conference on Operating Systems,Conference on Operating Systems,proceed
id_Configuration Workshop,Configuration Workshop,proceed
id_Configuring User-Designer Relations,Configuring User-Designer Relations,proceed
id_Confluence of Computer Vision and Computer Graphics,Confluence of Computer Vision and Computer Graphics,proceed
id_Congress on Evolutionary Computation,Congress on Evolutionary Computation,proceed
id_Conquering Complexity,Conquering Complexity,proceed
id_Consensual Processes,Consensual Processes,proceed
id_Constrained Optimization and Optimal Control for Partial Differential Equations,Constrained Optimization and Optimal Control for Partial Differential Equations,proceed
id_Constraint Databases,Constraint Databases,proceed
id_Constraint Databases, Geometric Elimination and Geographic Information Systems,Constraint Databases, Geometric Elimination and Geographic Information Systems,proceed
id_Constraint Handling Rules,Constraint Handling Rules,proceed
id_Constraint Processing, Selected Papers,Constraint Processing, Selected Papers,proceed
id_Constraint Programming,Constraint Programming,proceed
id_Constraint Programming and Decision Making,Constraint Programming and Decision Making,proceed
id_Constraint Programming and Large Scale Discrete Optimization,Constraint Programming and Large Scale Discrete Optimization,proceed
id_Constraint-Based Mining and Inductive Databases,Constraint-Based Mining and Inductive Databases,proceed
id_Constructing Knowledge Art,Constructing Knowledge Art,proceed
id_Constructive Neural Networks,Constructive Neural Networks,proceed
id_Constructivity in Computer Science,Constructivity in Computer Science,proceed
id_Consumer Depth Cameras for Computer Vision,Consumer Depth Cameras for Computer Vision,proceed
id_Contemporary Knowledge Engineering and Cognition,Contemporary Knowledge Engineering and Cognition,proceed
id_Contemporary Trends in Discrete Mathematics,Contemporary Trends in Discrete Mathematics,proceed
id_Content Distribution Infrastructures,Content Distribution Infrastructures,proceed
id_Content Management mit XML,Content Management mit XML,proceed
id_Content-Based Retrieval,Content-Based Retrieval,proceed
id_Content-based Retrieval of Medical Images: Landmarking, Indexing, and Relevance Feedback,Content-based Retrieval of Medical Images: Landmarking, Indexing, and Relevance Feedback,proceed
id_Context Aware Human-Robot and Human-Agent Interaction,Context Aware Human-Robot and Human-Agent Interaction,proceed
id_Context Sensitive Decision Support Systems,Context Sensitive Decision Support Systems,proceed
id_Context and Semantics for Knowledge Management,Context and Semantics for Knowledge Management,proceed
id_Context in Computing,Context in Computing,proceed
id_Context-Aware Mobile Computing,Context-Aware Mobile Computing,proceed
id_Context-Aware Mobile and Ubiquitous Computing for Enhanced Usability,Context-Aware Mobile and Ubiquitous Computing for Enhanced Usability,proceed
id_Context-Enhanced Information Fusion,Context-Enhanced Information Fusion,proceed
id_Contextual Analysis of Videos,Contextual Analysis of Videos,proceed
id_Contextual Design: Evolved,Contextual Design: Evolved,proceed
id_Contextual and Social Media Understanding and Usage,Contextual and Social Media Understanding and Usage,proceed
id_Continuous Software Engineering,Continuous Software Engineering,proceed
id_Contrast Data Mining,Contrast Data Mining,proceed
id_Contributions to Ubiquitous Computing,Contributions to Ubiquitous Computing,proceed
id_Control Grid Motion Estimation for Efficient Application of Optical Flow,Control Grid Motion Estimation for Efficient Application of Optical Flow,proceed
id_Control Problems in Robotics,Control Problems in Robotics,proceed
id_Control System Synthesis: A Factorization Approach, Part I,Control System Synthesis: A Factorization Approach, Part I,proceed
id_Control System Synthesis: A Factorization Approach, Part II,Control System Synthesis: A Factorization Approach, Part II,proceed
id_Control of Discrete-Event Systems,Control of Discrete-Event Systems,proceed
id_Control of Distributed Parameter and Stochastic Systems,Control of Distributed Parameter and Stochastic Systems,proceed
id_Controlling Energy Demand in Mobile Computing Systems,Controlling Energy Demand in Mobile Computing Systems,proceed
id_Conversational UX Design,Conversational UX Design,proceed
id_Conversations Around Semiotic Engineering,Conversations Around Semiotic Engineering,proceed
id_CoopIS,CoopIS,proceed
id_CoopIS/DOA/ODBASE,CoopIS/DOA/ODBASE,proceed
id_CoopIS/DOA/ODBASE (1),CoopIS/DOA/ODBASE (1),proceed
id_CoopIS/DOA/ODBASE (2),CoopIS/DOA/ODBASE (2),proceed
id_Cooperative Environments for Distributed Systems Engineering,Cooperative Environments for Distributed Systems Engineering,proceed
id_Cooperative Interfaces to Information Systems,Cooperative Interfaces to Information Systems,proceed
id_Cooperative Knowledge Processing for Engineering Design,Cooperative Knowledge Processing for Engineering Design,proceed
id_Cooperative Multimodal Communication,Cooperative Multimodal Communication,proceed
id_Cooperative Robots and Sensor Networks,Cooperative Robots and Sensor Networks,proceed
id_Cooperative Work with Multimedia,Cooperative Work with Multimedia,proceed
id_Coordination Technology for Collaborative Applications,Coordination Technology for Collaborative Applications,proceed
id_Coordination of Internet Agents: Models, Technologies, and Applications,Coordination of Internet Agents: Models, Technologies, and Applications,proceed
id_Core-Task Design,Core-Task Design,proceed
id_CoreGRID,CoreGRID,proceed
id_CoreGRID Integration Workshop,CoreGRID Integration Workshop,proceed
id_CoreGRID Workshop - Making Grids Work,CoreGRID Workshop - Making Grids Work,proceed
id_CoreGRID Workshop on Grid Middleware,CoreGRID Workshop on Grid Middleware,proceed
id_CoreGRID@Euro-Par,CoreGRID@Euro-Par,proceed
id_Correct Reasoning,Correct Reasoning,proceed
id_Correct Software in Web Applications and Web Services,Correct Software in Web Applications and Web Services,proceed
id_Correct System Design,Correct System Design,proceed
id_Correct System Design, Recent Insight and Advances,Correct System Design, Recent Insight and Advances,proceed
id_Countering Insider Threats,Countering Insider Threats,proceed
id_Counterterrorism and Open Source Intelligence,Counterterrorism and Open Source Intelligence,proceed
id_Covariances in Computer Vision and Machine Learning,Covariances in Computer Vision and Machine Learning,proceed
id_Crafting Your Research Future,Crafting Your Research Future,proceed
id_Creating Autonomous Vehicle Systems,Creating Autonomous Vehicle Systems,proceed
id_Creating Brain-Like Intelligence,Creating Brain-Like Intelligence,proceed
id_Creating Personalities for Synthetic Actors,Creating Personalities for Synthetic Actors,proceed
id_Creative Environments,Creative Environments,proceed
id_CreativeSME,CreativeSME,proceed
id_Creativity & Cognition,Creativity & Cognition,proceed
id_Creativity in the Digital Age,Creativity in the Digital Age,proceed
id_Critical Computing,Critical Computing,proceed
id_Critical Infrastructure Protection,Critical Infrastructure Protection,proceed
id_Critical Infrastructure Protection Against Hybrid Warfare Security Related Challenges,Critical Infrastructure Protection Against Hybrid Warfare Security Related Challenges,proceed
id_Cross Disciplinary Biometric Systems,Cross Disciplinary Biometric Systems,proceed
id_Cross-Language Information Retrieval,Cross-Language Information Retrieval,proceed
id_Cross-Lingual Word Embeddings,Cross-Lingual Word Embeddings,proceed
id_Cross-Organisational Workflow Management and Co-ordination,Cross-Organisational Workflow Management and Co-ordination,proceed
id_CrossCloud@EuroSys,CrossCloud@EuroSys,proceed
id_CrossLAK,CrossLAK,proceed
id_CrossMMLA@LAK,CrossMMLA@LAK,proceed
id_CrowdMM,CrowdMM,proceed
id_CrowdMM@ACM Multimedia,CrowdMM@ACM Multimedia,proceed
id_CrowdRE@RE,CrowdRE@RE,proceed
id_CrowdSearch,CrowdSearch,proceed
id_CrowdSem,CrowdSem,proceed
id_CrowdSenSys@SenSys,CrowdSenSys@SenSys,proceed
id_CrowdSoft@SIGSOFT FSE,CrowdSoft@SIGSOFT FSE,proceed
id_Crowdsourcing and Human-Centered Experiments,Crowdsourcing and Human-Centered Experiments,proceed
id_CrownCom,CrownCom,proceed
id_Cryptographic Algorithms and their Uses,Cryptographic Algorithms and their Uses,proceed
id_Cryptographic Engineering,Cryptographic Engineering,proceed
id_Cryptography,Cryptography,proceed
id_Cryptography and Security,Cryptography and Security,proceed
id_Cryptography: Policy and Algorithms,Cryptography: Policy and Algorithms,proceed
id_Culture Computing,Culture Computing,proceed
id_Culture and Computing,Culture and Computing,proceed
id_Current Challenges in Patent Information Retrieval,Current Challenges in Patent Information Retrieval,proceed
id_Current Trends in Concurrency,Current Trends in Concurrency,proceed
id_Current Trends in Theoretical Computer Science,Current Trends in Theoretical Computer Science,proceed
id_Curves and Surface,Curves and Surface,proceed
id_Curves and Surfaces,Curves and Surfaces,proceed
id_Customizable Computing,Customizable Computing,proceed
id_Cutting, Packing, Layout and Space Allocation,Cutting, Packing, Layout and Space Allocation,proceed
id_CyCAR@CCS,CyCAR@CCS,proceed
id_CyCon,CyCon,proceed
id_CyCon U.S.,CyCon U.S.,proceed
id_CyPhy,CyPhy,proceed
id_CyPhy/WESE,CyPhy/WESE,proceed
id_CySWATER@CPSWeek,CySWATER@CPSWeek,proceed
id_CySWater@CPSWeek,CySWater@CPSWeek,proceed
id_Cyber Deception,Cyber Deception,proceed
id_Cyber Defense and Situational Awareness,Cyber Defense and Situational Awareness,proceed
id_Cyber Foraging: Bridging Mobile and Cloud Computing,Cyber Foraging: Bridging Mobile and Cloud Computing,proceed
id_Cyber Security,Cyber Security,proceed
id_Cyber Security And Protection Of Digital Services,Cyber Security And Protection Of Digital Services,proceed
id_Cyber Security and Resiliency Policy Framework,Cyber Security and Resiliency Policy Framework,proceed
id_Cyber Security, Cyber Crime and Cyber Forensics,Cyber Security, Cyber Crime and Cyber Forensics,proceed
id_Cyber Situational Awareness,Cyber Situational Awareness,proceed
id_Cyber Warfare,Cyber Warfare,proceed
id_Cyber-Physical Systems Security,Cyber-Physical Systems Security,proceed
id_Cyber-Physical Systems of Systems,Cyber-Physical Systems of Systems,proceed
id_CyberC,CyberC,proceed
id_CyberICPS/SECPRE@ESORICS,CyberICPS/SECPRE@ESORICS,proceed
id_CyberICPS@ESORICS,CyberICPS@ESORICS,proceed
id_CyberICS/WOS-CPS@ESORICS,CyberICS/WOS-CPS@ESORICS,proceed
id_CyberParks,CyberParks,proceed
id_CyberSA,CyberSA,proceed
id_CyberSafety@CIKM,CyberSafety@CIKM,proceed
id_CyberSec,CyberSec,proceed
id_CyberSecurity,CyberSecurity,proceed
id_Cyberpatterns,Cyberpatterns,proceed
id_Cybersecurity Systems for Human Cognition Augmentation,Cybersecurity Systems for Human Cognition Augmentation,proceed
id_Cybertherapy,Cybertherapy,proceed
id_D&P@MoDELS,D&P@MoDELS,proceed
id_D-A-CH EI,D-A-CH EI,proceed
id_D-CSCL,D-CSCL,proceed
id_D-CSCW,D-CSCW,proceed
id_D.GO,D.GO,proceed
id_D4RE@RE,D4RE@RE,proceed
id_DAAC@SC,DAAC@SC,proceed
id_DAARC,DAARC,proceed
id_DAC,DAC,proceed
id_DAFx,DAFx,proceed
id_DAGM-Symposium,DAGM-Symposium,proceed
id_DAGM/OAGM Symposium,DAGM/OAGM Symposium,proceed
id_DAGM/OAGM-Symposium,DAGM/OAGM-Symposium,proceed
id_DAH@HT,DAH@HT,proceed
id_DAI,DAI,proceed
id_DAIS,DAIS,proceed
id_DAISD,DAISD,proceed
id_DALI@TABLEAUX,DALI@TABLEAUX,proceed
id_DALT,DALT,proceed
id_DAMAS,DAMAS,proceed
id_DAMDID/RCDL,DAMDID/RCDL,proceed
id_DAMDID/RCDL (Selected Papers),DAMDID/RCDL (Selected Papers),proceed
id_DAMP,DAMP,proceed
id_DANCE,DANCE,proceed
id_DANTE,DANTE,proceed
id_DAPPCON,DAPPCON,proceed
id_DAPSE@ICSE,DAPSE@ICSE,proceed
id_DAPSYS,DAPSYS,proceed
id_DAR@ICVGIP,DAR@ICVGIP,proceed
id_DARE,DARE,proceed
id_DARE@CIKM,DARE@CIKM,proceed
id_DARE@PKDD/ECML,DARE@PKDD/ECML,proceed
id_DARS,DARS,proceed
id_DART/MIL3ID@MICCAI,DART/MIL3ID@MICCAI,proceed
id_DART@AI*IA,DART@AI*IA,proceed
id_DART@AI*IA (Revised and Invited Papers),DART@AI*IA (Revised and Invited Papers),proceed
id_DART@CIKM,DART@CIKM,proceed
id_DARe@ECAI,DARe@ECAI,proceed
id_DARe@IJCAI,DARe@IJCAI,proceed
id_DARe@LPNMR,DARe@LPNMR,proceed
id_DAS,DAS,proceed
id_DASC,DASC,proceed
id_DASC/PiCom/CBDCom/CyberSciTech,DASC/PiCom/CBDCom/CyberSciTech,proceed
id_DASC/PiCom/DataCom/CyberSciTech,DASC/PiCom/DataCom/CyberSciTech,proceed
id_DASFAA,DASFAA,proceed
id_DASFAA (1),DASFAA (1),proceed
id_DASFAA (2),DASFAA (2),proceed
id_DASFAA (3),DASFAA (3),proceed
id_DASFAA Workshops,DASFAA Workshops,proceed
id_DASIP,DASIP,proceed
id_DATA,DATA,proceed
id_DATA (Revised Selected Papers),DATA (Revised Selected Papers),proceed
id_DATA@SenSys,DATA@SenSys,proceed
id_DATE,DATE,proceed
id_DATE Designers' Forum,DATE Designers' Forum,proceed
id_DATESO,DATESO,proceed
id_DATRA/PIPPI@MICCAI,DATRA/PIPPI@MICCAI,proceed
id_DATeCH,DATeCH,proceed
id_DB&IS,DB&IS,proceed
id_DB&IS (Local Proceedings),DB&IS (Local Proceedings),proceed
id_DB&IS (Selected Papers),DB&IS (Selected Papers),proceed
id_DB&Local Proceedings,DB&Local Proceedings,proceed
id_DBCrowd,DBCrowd,proceed
id_DBISP2P,DBISP2P,proceed
id_DBKDA,DBKDA,proceed
id_DBPL,DBPL,proceed
id_DBRank@VLDB,DBRank@VLDB,proceed
id_DBSec,DBSec,proceed
id_DBSocial,DBSocial,proceed
id_DBTA,DBTA,proceed
id_DBTest,DBTest,proceed
id_DBTest@SIGMOD,DBTest@SIGMOD,proceed
id_DC@AI*IA,DC@AI*IA,proceed
id_DC@CHItaly,DC@CHItaly,proceed
id_DC@ECML/PKDD,DC@ECML/PKDD,proceed
id_DC@ISWC,DC@ISWC,proceed
id_DC@PKDD/ECML,DC@PKDD/ECML,proceed
id_DCAI,DCAI,proceed
id_DCAI (Special Sessions II),DCAI (Special Sessions II),proceed
id_DCAI (Special Sessions),DCAI (Special Sessions),proceed
id_DCC,DCC,proceed
id_DCC@PODC,DCC@PODC,proceed
id_DCC@SIGCOMM,DCC@SIGCOMM,proceed
id_DCCN,DCCN,proceed
id_DCDP,DCDP,proceed
id_DCE Workshop,DCE Workshop,proceed
id_DCFS,DCFS,proceed
id_DCH@ICE/ITMC,DCH@ICE/ITMC,proceed
id_DCI@INTERACT,DCI@INTERACT,proceed
id_DCIS,DCIS,proceed
id_DCIS 2019,DCIS 2019,proceed
id_DCM,DCM,proceed
id_DCM/ITRS,DCM/ITRS,proceed
id_DCNET,DCNET,proceed
id_DCNET/ICE-B/OPTICS,DCNET/ICE-B/OPTICS,proceed
id_DCNET/OPTICS,DCNET/OPTICS,proceed
id_DCOSS,DCOSS,proceed
id_DCPD@CHItaly,DCPD@CHItaly,proceed
id_DCPS,DCPS,proceed
id_DCSMart,DCSMart,proceed
id_DCSOFT,DCSOFT,proceed
id_DCV,DCV,proceed
id_DCW,DCW,proceed
id_DChanges,DChanges,proceed
id_DChanges@DocEng,DChanges@DocEng,proceed
id_DDB,DDB,proceed
id_DDC@AI*IA,DDC@AI*IA,proceed
id_DDDSM@IJCNLP,DDDSM@IJCNLP,proceed
id_DDECS,DDECS,proceed
id_DDEP/PODDP,DDEP/PODDP,proceed
id_DDFP,DDFP,proceed
id_DDGD@MindTrek,DDGD@MindTrek,proceed
id_DDI,DDI,proceed
id_DDI@WebSci,DDI@WebSci,proceed
id_DDLP,DDLP,proceed
id_DDMMT@ACL,DDMMT@ACL,proceed
id_DDSS,DDSS,proceed
id_DDoPS,DDoPS,proceed
id_DEBS,DEBS,proceed
id_DEC,DEC,proceed
id_DECLARE,DECLARE,proceed
id_DECS@SAFECOMP,DECS@SAFECOMP,proceed
id_DEEC,DEEC,proceed
id_DEECS,DEECS,proceed
id_DEEM@SIGMOD,DEEM@SIGMOD,proceed
id_DEFECTS,DEFECTS,proceed
id_DEFORM/AVATARS,DEFORM/AVATARS,proceed
id_DEFT@TALN,DEFT@TALN,proceed
id_DEGAS,DEGAS,proceed
id_DEIS,DEIS,proceed
id_DELOS,DELOS,proceed
id_DELTA,DELTA,proceed
id_DEON,DEON,proceed
id_DESIRE,DESIRE,proceed
id_DESIRES,DESIRES,proceed
id_DESRIST,DESRIST,proceed
id_DESSERT,DESSERT,proceed
id_DEST,DEST,proceed
id_DESTION@CPSIoTWeek,DESTION@CPSIoTWeek,proceed
id_DET,DET,proceed
id_DETER,DETER,proceed
id_DEVOPS,DEVOPS,proceed
id_DEXA,DEXA,proceed
id_DEXA (1),DEXA (1),proceed
id_DEXA (2),DEXA (2),proceed
id_DEXA Workshop,DEXA Workshop,proceed
id_DEXA Workshops,DEXA Workshops,proceed
id_DFHS@BuildSys,DFHS@BuildSys,proceed
id_DFM@PACT,DFM@PACT,proceed
id_DFMA,DFMA,proceed
id_DFN Arbeitstagung über Kommunikationsnetze,DFN Arbeitstagung über Kommunikationsnetze,proceed
id_DFN-Arbeitstagung über Kommunikationsnetze,DFN-Arbeitstagung über Kommunikationsnetze,proceed
id_DFN-Forum Kommunikationstechnologien,DFN-Forum Kommunikationstechnologien,proceed
id_DFRWS,DFRWS,proceed
id_DFSD@Middleware,DFSD@Middleware,proceed
id_DFT,DFT,proceed
id_DFT-Domain Based Single-Microphone Noise Reduction for Speech Enhancement,DFT-Domain Based Single-Microphone Noise Reduction for Speech Enhancement,proceed
id_DFTS,DFTS,proceed
id_DG.O,DG.O,proceed
id_DGCI,DGCI,proceed
id_DGS@ICLR,DGS@ICLR,proceed
id_DH,DH,proceed
id_DH-CASE@DocEng,DH-CASE@DocEng,proceed
id_DHC@MTSR,DHC@MTSR,proceed
id_DHLU,DHLU,proceed
id_DHN,DHN,proceed
id_DI2KG@KDD,DI2KG@KDD,proceed
id_DIACHRON@ESWC,DIACHRON@ESWC,proceed
id_DIACRON@ESWC,DIACRON@ESWC,proceed
id_DIAL,DIAL,proceed
id_DIAL-M,DIAL-M,proceed
id_DIALM-PODC,DIALM-PODC,proceed
id_DIALM-POMC,DIALM-POMC,proceed
id_DIAS/EDUDM@ISEC,DIAS/EDUDM@ISEC,proceed
id_DICE,DICE,proceed
id_DICE-FOPARA@ETAPS,DICE-FOPARA@ETAPS,proceed
id_DICT@HPDC,DICT@HPDC,proceed
id_DICTA,DICTA,proceed
id_DICTAP,DICTAP,proceed
id_DICTAP (1),DICTAP (1),proceed
id_DICTAP (2),DICTAP (2),proceed
id_DIDC@HPDC,DIDC@HPDC,proceed
id_DIDL@Middleware,DIDL@Middleware,proceed
id_DIFTS@FMCAD,DIFTS@FMCAD,proceed
id_DIGITEL,DIGITEL,proceed
id_DIIDM,DIIDM,proceed
id_DIISM,DIISM,proceed
id_DILS,DILS,proceed
id_DIMEA,DIMEA,proceed
id_DIMVA,DIMVA,proceed
id_DIN,DIN,proceed
id_DIN@MobiCom,DIN@MobiCom,proceed
id_DIPES,DIPES,proceed
id_DIPES/BICC,DIPES/BICC,proceed
id_DIR,DIR,proceed
id_DIS,DIS,proceed
id_DIS-RT,DIS-RT,proceed
id_DISC,DISC,proceed
id_DISCEX (1),DISCEX (1),proceed
id_DISCEX (2),DISCEX (2),proceed
id_DISCO,DISCO,proceed
id_DISCS@SC,DISCS@SC,proceed
id_DISE@ICSE,DISE@ICSE,proceed
id_DISWEB,DISWEB,proceed
id_DIVANet,DIVANet,proceed
id_DIVANet@MSWIM,DIVANet@MSWIM,proceed
id_DIVANet@MSWiM,DIVANet@MSWiM,proceed
id_DIWeb,DIWeb,proceed
id_DIYNetworking@MobiSys,DIYNetworking@MobiSys,proceed
id_DKB/KIK@KI,DKB/KIK@KI,proceed
id_DL,DL,proceed
id_DL4KG@ESWC,DL4KG@ESWC,proceed
id_DL4KGS@ESWC,DL4KGS@ESWC,proceed
id_DLMIA/ML-CDS@MICCAI,DLMIA/ML-CDS@MICCAI,proceed
id_DLRS,DLRS,proceed
id_DLRS@RecSys,DLRS@RecSys,proceed
id_DLS,DLS,proceed
id_DLS@SC,DLS@SC,proceed
id_DLT,DLT,proceed
id_DLT@ITASEC,DLT@ITASEC,proceed
id_DLfM,DLfM,proceed
id_DLfM@JCDL,DLfM@JCDL,proceed
id_DLfm,DLfm,proceed
id_DM-CCG,DM-CCG,proceed
id_DM@EACL,DM@EACL,proceed
id_DMAH@VLDB,DMAH@VLDB,proceed
id_DMAS,DMAS,proceed
id_DMBD,DMBD,proceed
id_DMBiz@PAKDD,DMBiz@PAKDD,proceed
id_DMCS,DMCS,proceed
id_DMDW,DMDW,proceed
id_DMG,DMG,proceed
id_DMIAF,DMIAF,proceed
id_DMIN,DMIN,proceed
id_DMIS,DMIS,proceed
id_DMKD,DMKD,proceed
id_DMLE/IOTSTREAMING@PKDD/ECML,DMLE/IOTSTREAMING@PKDD/ECML,proceed
id_DMM@ICDM,DMM@ICDM,proceed
id_DMNLP@PKDD/ECML,DMNLP@PKDD/ECML,proceed
id_DMO,DMO,proceed
id_DMRS,DMRS,proceed
id_DMS,DMS,proceed
id_DMSN,DMSN,proceed
id_DMSVIVA,DMSVIVA,proceed
id_DMSVLSS,DMSVLSS,proceed
id_DMTCS,DMTCS,proceed
id_DMoLD,DMoLD,proceed
id_DNA,DNA,proceed
id_DNA Based Computers,DNA Based Computers,proceed
id_DNA Computing,DNA Computing,proceed
id_DNIS,DNIS,proceed
id_DOA,DOA,proceed
id_DOLAP,DOLAP,proceed
id_DOOD,DOOD,proceed
id_DOOR,DOOR,proceed
id_DOOR (Supplement),DOOR (Supplement),proceed
id_DOSTA,DOSTA,proceed
id_DPC,DPC,proceed
id_DPDS,DPDS,proceed
id_DPH,DPH,proceed
id_DPM/CBT@ESORICS,DPM/CBT@ESORICS,proceed
id_DPM/QASA@ESORICS,DPM/QASA@ESORICS,proceed
id_DPM/SETOP,DPM/SETOP,proceed
